time, Quad.Roll, Quad.Est.Roll, Quad.Pitch, Quad.Est.Pitch, Quad.Yaw, Quad.Est.Yaw
0.005000,0.000015,0.000018,-0.000025,-0.000033,0.000000,0.000000
0.010000,0.000055,0.000050,-0.000310,-0.000251,0.000002,0.000002
0.015000,0.000106,0.000110,-0.001403,-0.001577,0.000003,0.000004
0.020000,0.000123,0.000125,-0.004084,-0.003709,0.000001,0.000002
0.025000,0.000033,0.000018,-0.009178,-0.009839,-0.000009,-0.000010
0.030000,-0.000151,-0.000129,-0.017644,-0.016602,-0.000021,-0.000020
0.035000,-0.000431,-0.000467,-0.030239,-0.031723,-0.000031,-0.000036
0.040000,-0.000774,-0.000744,-0.047441,-0.045480,-0.000034,-0.000047
0.045000,-0.001094,-0.001127,-0.069604,-0.072083,-0.000024,-0.000059
0.050000,-0.001403,-0.001371,-0.096912,-0.093938,0.000007,-0.000062
0.055000,-0.001712,-0.001734,-0.129062,-0.132511,0.000059,-0.000060
0.060000,-0.002014,-0.001968,-0.165176,-0.161428,0.000134,-0.000054
0.065000,-0.002237,-0.002214,-0.204018,-0.208025,0.000229,-0.000043
0.070000,-0.002335,-0.002271,-0.244174,-0.240179,0.000340,-0.000029
0.075000,-0.002368,-0.002272,-0.284267,-0.288281,0.000468,0.000005
0.080000,-0.002411,-0.002271,-0.323038,-0.319323,0.000604,0.000035
0.085000,-0.002513,-0.002338,-0.359513,-0.363098,0.000743,0.000085
0.090000,-0.002648,-0.002405,-0.393066,-0.389952,0.000884,0.000120
0.095000,-0.002786,-0.002505,-0.423462,-0.426440,0.001024,0.000175
0.100000,-0.002927,-0.002571,-0.450584,-0.448147,0.001163,0.000214
0.105000,-0.003040,-0.002634,-0.474509,-0.476878,0.001298,0.000274
0.110000,-0.003120,-0.002650,-0.495503,-0.493679,0.001430,0.000316
0.115000,-0.003177,-0.002647,-0.513894,-0.515768,0.001555,0.000377
0.120000,-0.003245,-0.002657,-0.530026,-0.528678,0.001667,0.000414
0.125000,-0.003364,-0.002735,-0.544334,-0.545871,0.001766,0.000459
0.130000,-0.003485,-0.002795,-0.557259,-0.556215,0.001857,0.000485
0.135000,-0.003575,-0.002848,-0.569194,-0.570556,0.001942,0.000521
0.140000,-0.003596,-0.002830,-0.580397,-0.579533,0.002018,0.000540
0.145000,-0.003573,-0.002757,-0.590619,-0.591802,0.002086,0.000564
0.150000,-0.003460,-0.002642,-0.599009,-0.598545,0.002139,0.000576
0.155000,-0.003284,-0.002407,-0.604351,-0.604951,0.002174,0.000588
0.160000,-0.003040,-0.002206,-0.605426,-0.605838,0.002186,0.000593
0.165000,-0.002744,-0.001857,-0.601148,-0.600707,0.002176,0.000598
0.170000,-0.002418,-0.001606,-0.590687,-0.592359,0.002152,0.000603
0.175000,-0.002106,-0.001256,-0.573394,-0.571615,0.002116,0.000614
0.180000,-0.001853,-0.001075,-0.548821,-0.551971,0.002070,0.000622
0.185000,-0.001654,-0.000867,-0.516706,-0.513448,0.002018,0.000636
0.190000,-0.001439,-0.000716,-0.476976,-0.481672,0.001964,0.000646
0.195000,-0.001174,-0.000428,-0.429756,-0.425028,0.001911,0.000663
0.200000,-0.000880,-0.000206,-0.375284,-0.381453,0.001866,0.000675
0.205000,-0.000593,0.000126,-0.314091,-0.308056,0.001835,0.000694
0.210000,-0.000331,0.000332,-0.247428,-0.254702,0.001821,0.000708
0.215000,-0.000098,0.000609,-0.177239,-0.170524,0.001823,0.000727
0.220000,0.000041,0.000720,-0.105789,-0.113337,0.001831,0.000735
0.225000,0.000107,0.000798,-0.035174,-0.028628,0.001840,0.000738
0.230000,0.000092,0.000785,0.032927,0.025872,0.001845,0.000736
0.235000,0.000065,0.000751,0.097253,0.103046,0.001848,0.000734
0.240000,0.000033,0.000725,0.156855,0.150740,0.001851,0.000734
0.245000,-0.000001,0.000684,0.211234,0.215998,0.001854,0.000737
0.250000,-0.000005,0.000679,0.260162,0.255148,0.001858,0.000740
0.255000,0.000078,0.000776,0.303582,0.307267,0.001864,0.000746
0.260000,0.000241,0.000904,0.341560,0.337656,0.001877,0.000752
0.265000,0.000481,0.001182,0.374265,0.376922,0.001899,0.000762
0.270000,0.000758,0.001397,0.402084,0.399176,0.001925,0.000767
0.275000,0.001037,0.001721,0.425634,0.427465,0.001953,0.000773
0.280000,0.001350,0.001963,0.445692,0.443509,0.001983,0.000775
0.285000,0.001629,0.002279,0.463071,0.464392,0.002016,0.000780
0.290000,0.001827,0.002428,0.478548,0.476773,0.002049,0.000782
0.295000,0.001909,0.002508,0.492794,0.493891,0.002082,0.000785
0.300000,0.001896,0.002483,0.506266,0.504672,0.002114,0.000787
0.305000,0.001915,0.002490,0.519326,0.520363,0.002140,0.000784
0.310000,0.002001,0.002551,0.532188,0.530662,0.002161,0.000779
0.314999,0.002138,0.002705,0.544929,0.545967,0.002177,0.000764
0.319999,0.002323,0.002847,0.557575,0.556095,0.002194,0.000753
0.324999,0.002548,0.003105,0.570123,0.571167,0.002211,0.000734
0.329999,0.002812,0.003307,0.582456,0.581048,0.002233,0.000723
0.334999,0.003074,0.003604,0.594313,0.595285,0.002258,0.000705
0.339999,0.003291,0.003767,0.605288,0.604083,0.002283,0.000694
0.344999,0.003434,0.003924,0.614892,0.615613,0.002306,0.000678
0.349999,0.003488,0.003957,0.622644,0.621832,0.002324,0.000668
0.354999,0.003502,0.003970,0.628084,0.628369,0.002330,0.000651
0.359999,0.003491,0.003967,0.630884,0.630620,0.002321,0.000637
0.364999,0.003404,0.003879,0.630900,0.630654,0.002297,0.000615
0.369999,0.003241,0.003765,0.628050,0.628384,0.002259,0.000597
0.374999,0.003120,0.003655,0.622318,0.621525,0.002210,0.000571
0.379999,0.003116,0.003680,0.613927,0.614818,0.002148,0.000551
0.384999,0.003234,0.003870,0.603136,0.601888,0.002076,0.000522
0.389999,0.003398,0.004036,0.590281,0.591607,0.002000,0.000506
0.394998,0.003545,0.004262,0.575809,0.574261,0.001923,0.000488
0.399998,0.003643,0.004374,0.560110,0.561705,0.001844,0.000481
0.404998,0.003725,0.004522,0.543534,0.541834,0.001768,0.000475
